barrio_key,barrio_nombre,tree_density,refugios_300m,refugios_400m,refugios_proximos,fuentes_400m,fuentes_proximas,no2_medio,pop_65plus,coverage_ratio_300m,coverage_ratio_400m,coverage_ratio,coverage_ratio_suavizado,vulnerability_index_raw,vulnerability_index,log_pop,log_pop_norm,priority_score,priority_score_norm
808,El Goloso,194.616615909349,0,0,0,0,0,21.47257298018104,1961,0.0,0.0,0.0,0.0509943906170321,5.261368398772191,0.8564171417238781,7.581719640125308,0.7690466853047622,0.6586247640809272,0.7307460226508773
1703,Butarque,1970.3016834013663,0,0,0,0,0,25.58858569525789,2286,0.0,0.0,0.0,0.0437445319335083,5.10894444516542,0.8316063934955983,7.734996194022781,0.7845941905285032,0.6524735451430068,0.723921227990123
1301,Entrevías,2847.4827211568486,0,0,0,3,3,24.678296993785477,6850,0.0,0.0,0.0,0.0145985401459854,4.374091508056024,0.7119909998779435,8.832149906002899,0.8958832470378758,0.6378608088323958,0.7077083560767417
1306,Numancia,3187.0087586064888,0,0,0,6,6,24.729679516676672,9591,0.0,0.0,0.0,0.0104264414555312,4.16866458132291,0.6785527138482199,9.16868469670735,0.9300194295354803,0.6310672078428735,0.7001708367283794
106,Sol,1504.6003730647294,0,0,0,13,13,25.137633600668774,1320,0.0,0.0,0.0,0.0757575757575757,5.318022671567061,0.8656390183719282,7.186144304522325,0.7289217644327521,0.6309831206335015,0.7000775417337854
504,Hispanoamérica,3432.9472431159443,0,0,0,5,5,26.15164989703027,7975,0.0,0.0,0.0,0.012539184952978,4.244029945388767,0.690820280911823,8.984192311641674,0.9113055672544448,0.6295483679672238,0.6984856796272442
1904,El Cañaveral,745.9529949658689,0,0,0,1,1,23.526308399970617,994,0.0,0.0,0.0,0.1006036217303823,5.433172356133952,0.8843824623303852,6.902742737158593,0.7001751150792487,0.6192225923362468,0.6870292026093306
1006,Cuatro Vientos,358.2030613598623,0,0,0,0,0,24.22723873696912,599,0.0,0.0,0.0,0.1669449081803005,5.835072686557047,0.9498016282491132,6.396929655216146,0.6488683017815209,0.6162961695513255,0.6837823283232412
806,Valverde,1966.880249766952,0,0,0,2,2,20.53145960096794,8656,0.0,0.0,0.0,0.0115526802218114,4.101047861856042,0.6675464293173601,9.066123521215774,0.9196162049641939,0.6138865139662292,0.6811088086944662
907,Aravaca,2245.0791597358866,0,0,0,9,9,22.276683092521484,5311,0.0,0.0,0.0,0.0188288457917529,4.291299415483559,0.6985145500450833,8.57772369115627,0.8700756932809549,0.6077605313973101,0.6743120138558862
1304,Palomeras Sureste,3760.8598327722207,0,0,0,4,4,26.105079088005965,9000,0.0,0.0,0.0,0.0111111111111111,4.017752407502985,0.6539880449715151,9.105090961257085,0.9235688413080626,0.6040029809236673,0.6701430010685278
2001,Simancas,2154.333068396173,0,0,0,5,5,21.972147316719056,4949,0.0,0.0,0.0,0.0202061022428773,4.283580195875402,0.6972580571534813,8.507142855562735,0.8629163732011172,0.6016753938641395,0.6675605366990061
1606,Valdefuentes,2500.888492169609,0,0,0,4,4,21.9401710065769,6965,0.0,0.0,0.0,0.0143575017946877,4.083070922285299,0.6646202401518739,8.848796450925947,0.8975717782422077,0.5965443708088806,0.6618676522308786
502,Prosperidad,3547.879436099303,0,0,0,8,8,24.57337984797345,9783,0.0,0.0,0.0,0.0102218133496882,3.915737326039222,0.6373825807922128,9.188503677367008,0.9320297546471824,0.594059530392154,0.659110714820578
1103,San Isidro,3724.467767017609,0,0,0,8,8,25.789594520463964,7940,0.0,0.0,0.0,0.0125944584382871,3.9931775345447424,0.6499878798315798,8.97979449089521,0.910859477234216,0.5920476204319692,0.6568784950779932
2102,Aeropuerto,32.66505280485351,0,0,0,0,0,24.65617247610036,298,0.0,0.0,0.0,0.3355704697986577,6.143464606723784,1.0,5.700443573390687,0.5782206996525773,0.5782206996525773,0.6415374877000685
603,Castillejos,3303.6222643829487,0,0,0,4,4,24.77120610652568,5085,0.0,0.0,0.0,0.0196656833824975,4.1018571109743975,0.6676781545196946,8.534246945982066,0.8656656585723239,0.5779860493466452,0.6412771425276349
2104,Timón,1487.150362204241,0,0,0,0,0,22.101138190129625,1737,0.0,0.0,0.0,0.0575705238917674,4.685487251297448,0.76267831773123,7.460490305825338,0.7567498684702697,0.5771567166282349,0.6403569955509596
1305,Portazgo,4138.090005536238,0,0,0,2,2,27.53827364946456,6388,0.0,0.0,0.0,0.0156543519098309,3.972902148090572,0.6466875618917678,8.762333040602343,0.8888014197660645,0.574776823154458,0.6377164970681519
602,Cuatro Caminos,3631.1173506060513,0,0,0,9,9,24.511465688311382,8027,0.0,0.0,0.0,0.0124579544038868,3.853740458202786,0.6272910653680688,8.990690709916228,0.9119647279580912,0.572067325778932,0.6347103021320847
1101,Comillas,3829.777157846689,0,0,0,3,3,26.284353567955385,5406,0.0,0.0,0.0,0.0184979652238253,3.999060014707033,0.6509453981927749,8.595449689382004,0.8718737181125608,0.567542184610596,0.6296896453165006
905,Valdemarín,998.648426515512,0,0,0,2,2,21.992037782590685,1010,0.0,0.0,0.0,0.099009900990099,4.936854175729818,0.8035944685555154,6.918695219020472,0.701793244458939,0.5639571693168319,0.6257120607950374
802,Fuentelarreina,1384.3045616716415,0,0,0,2,2,22.873647794825278,897,0.0,0.0,0.0,0.1114827201783723,4.909368155488765,0.7991204425782239,6.8001700683022,0.689770724686152,0.5512098867887,0.6115689150843868
306,Niño Jesús,2240.0802139110656,0,0,0,3,3,20.51703808773013,4256,0.0,0.0,0.0,0.0234962406015037,3.954948369171292,0.643765142692082,8.356319965828153,0.8476177537685805,0.5456667642031722,0.6054188050318243
1602,Piovera,2580.860579232421,0,0,0,0,0,22.1600665501462,2900,0.0,0.0,0.0,0.0344827586206896,4.078712697538991,0.6639108318578084,7.972810784121404,0.8087167551858049,0.5369158136727553,0.5957096008790771
501,El Viso,3388.653930560721,0,0,0,0,0,23.871551039372022,3939,0.0,0.0,0.0,0.0253871541000253,3.9010194471511066,0.634986883928914,8.27893600229198,0.8397683629340423,0.5332418960015729,0.5916333789205699
1902,Valdebernardo,3530.563093465483,0,0,0,5,5,24.808919642034773,3296,0.0,0.0,0.0,0.0303398058252427,3.964246926149283,0.6452787115938731,8.10076824307173,0.8216960348659675,0.5302229587001057,0.5882838595189452
801,El Pardo,15.177261459340803,0,0,0,0,0,18.68840520019665,873,0.0,0.0,0.0,0.1145475372279496,4.664854094011476,0.7593197637870289,6.773080375655535,0.6870228997434326,0.5216700659494629,0.5787944010282471
901,Casa de Campo,966.5827246625686,0,0,0,2,2,17.066050627746712,3485,0.0,0.0,0.0,0.0286944045911047,3.845032620070202,0.6258736504906308,8.156510226079966,0.8273501858105532,0.5178166810273527,0.5745190596515769
1502,Pueblo Nuevo,4214.784853307098,0,0,0,6,6,22.824865657461054,14389,0.0,0.0,0.0,0.0069497532837584,3.2481784204540034,0.5287209463043049,9.574288799881414,0.971161611770917,0.5134734863899332,0.5697002730222558
1509,Costillares,3757.584651881964,0,0,0,6,6,23.01771194124514,5615,0.0,0.0,0.0,0.0178094390026714,3.5445114330429868,0.576956434185957,8.633374945705647,0.8757206412447051,0.5052526585155848,0.5605792414429764
